cod_mun7	municipio	abertura_rank	arrecadacao_rank	bancaria_rank	empregos_rank	indica_rank
2912608	Ibiquera	0.0000	0.4145	0.0000	0.3988	0.2033
2919108	Lamarão	0.0000	0.4191	0.0000	0.4324	0.2129
2924108	Pedrão	0.0000	0.4305	0.0000	0.4329	0.2158
2909505	Cravolândia	0.0000	0.4418	0.0000	0.4357	0.2194
2919009	Lajedinho	0.0000	0.4588	0.0000	0.4207	0.2199
2900603	Aiquara	0.0000	0.4315	0.0000	0.4489	0.2201
2911253	Gavião	0.0000	0.4489	0.0000	0.4355	0.2211
2908804	Contendas do Sincorá	0.0000	0.4679	0.0000	0.4214	0.2223
2910206	Dom Macedo Costa	0.0000	0.4783	0.0000	0.4179	0.2241
2910776	Feira da Mata	0.0000	0.4743	0.0000	0.4240	0.2246
2913309	Ichu	0.0000	0.4677	0.0000	0.4361	0.2259
2922805	Nova Itarana	0.0000	0.4477	0.0000	0.4574	0.2263
2900900	Almadina	0.0000	0.4639	0.0000	0.4446	0.2271
2902302	Aratuípe	0.0000	0.4624	0.0000	0.4539	0.2291
2918704	Lafaiete Coutinho	0.0000	0.4733	0.0000	0.4433	0.2292
2928307	Santanópolis	0.0000	0.4855	0.0000	0.4322	0.2294
2907400	Catolândia	0.0000	0.4834	0.0000	0.4353	0.2297
2907558	Caturama	0.0000	0.5103	0.0000	0.4101	0.2301
2921609	Morpará	0.0000	0.4879	0.0000	0.4327	0.2301
2914208	Irajuba	0.0000	0.4814	0.0000	0.4432	0.2311
2915908	Itanagra	0.0000	0.4389	0.0000	0.4859	0.2312
2922755	Nova Ibiá	0.0000	0.4834	0.0000	0.4453	0.2322
2903953	Bom Jesus da Serra	0.0000	0.4787	0.0000	0.4506	0.2323
2906402	Candeal	0.0000	0.4744	0.0000	0.4611	0.2339
2901957	Apuarema	0.0000	0.5037	0.0000	0.4324	0.2340
2903102	Barra do Rocha	0.0000	0.4742	0.0000	0.4635	0.2344
2923308	Ouriçangas	0.0000	0.4962	0.0000	0.4465	0.2357
2922201	Muniz Ferreira	0.0000	0.4903	0.0000	0.4525	0.2357
2931400	Teodoro Sampaio	0.0000	0.4645	0.0000	0.4798	0.2361
2918506	Jussara	0.0000	0.5457	0.0000	0.3998	0.2364
2919959	Maetinga	0.0000	0.4961	0.0000	0.4496	0.2364
2921450	Mirante	0.0000	0.5003	0.0000	0.4474	0.2369
2916708	Itaquara	0.0000	0.4875	0.0000	0.4607	0.2370
2931103	Tanquinho	0.0000	0.4983	0.0000	0.4506	0.2372
2905107	Caém	0.0000	0.4876	0.0000	0.4672	0.2387
2911501	Gongogi	0.0000	0.4743	0.0000	0.4849	0.2398
2922854	Nova Redenção	0.0000	0.5146	0.0000	0.4470	0.2404
2918456	Jucuruçu	0.0000	0.4907	0.0000	0.4725	0.2408
2925931	Quixabeira	0.0000	0.4943	0.0000	0.4692	0.2409
2910909	Firmino Alves	0.0000	0.4615	0.0000	0.5022	0.2409
2919900	Macururé	0.0000	0.4782	0.0000	0.4858	0.2410
2920452	Mansidão	0.0000	0.5025	0.0000	0.4630	0.2414
2910305	Elísio Medrado	0.0000	0.5229	0.0000	0.4433	0.2416
2921054	Matina	0.0000	0.4969	0.0000	0.4694	0.2416
2933257	Vereda	0.0000	0.4947	0.0000	0.4728	0.2419
2915700	Itamari	0.0000	0.5130	0.0000	0.4570	0.2425
2929354	São José da Vitória	0.0000	0.5110	0.0000	0.4611	0.2430
2911303	Gentio do Ouro	0.0000	0.4990	0.0000	0.4746	0.2434
2904407	Brejolândia	0.0000	0.5143	0.0000	0.4602	0.2436
2926657	Ribeirão do Largo	0.0000	0.4852	0.0000	0.4902	0.2438
2918605	Jussiape	0.0000	0.5154	0.0000	0.4608	0.2441
2906899	Caraíbas	0.0000	0.5035	0.0000	0.4736	0.2443
2914307	Iramaia	0.0000	0.5162	0.0000	0.4614	0.2444
2930758	Sítio do Mato	0.0000	0.4900	0.0000	0.4883	0.2446
2904506	Brotas de Macaúbas	0.0000	0.5307	0.0000	0.4489	0.2449
2901809	Antônio Gonçalves	0.0000	0.5095	0.0000	0.4708	0.2451
2933174	Varzedo	0.0000	0.5217	0.0000	0.4599	0.2454
2918555	Jussari	0.0000	0.5001	0.0000	0.4819	0.2455
2924702	Piripá	0.0000	0.5235	0.0000	0.4591	0.2456
2924678	Piraí do Norte	0.0000	0.5091	0.0000	0.4770	0.2465
2911659	Guajeru	0.0000	0.5150	0.0000	0.4712	0.2465
2924652	Pintadas	0.0000	0.5104	0.0000	0.4784	0.2472
2902658	Banzaê	0.0000	0.5037	0.0000	0.4859	0.2474
2901502	Anguera	0.0000	0.4848	0.0000	0.5049	0.2474
2928505	Santa Terezinha	0.0000	0.5236	0.0000	0.4673	0.2477
2900108	Abaíra	0.0000	0.5256	0.0000	0.4655	0.2478
2909000	Cordeiros	0.0000	0.5275	0.0000	0.4647	0.2480
2905156	Caetanos	0.0000	0.5156	0.0000	0.4767	0.2481
2919058	Lajedo do Tabocal	0.0000	0.5257	0.0000	0.4667	0.2481
2900355	Adustina	0.0000	0.5004	0.0000	0.4923	0.2482
2930006	Sebastião Laranjeiras	0.0000	0.5185	0.0000	0.4761	0.2486
2928950	São Domingos	0.0000	0.5435	0.0000	0.4514	0.2487
2915353	Itaguaçu da Bahia	0.0000	0.5347	0.0000	0.4612	0.2490
2909703	Cristópolis	0.0000	0.5251	0.0000	0.4748	0.2500
2906105	Canápolis	0.0000	0.5083	0.0000	0.4923	0.2501
2927309	Salinas da Margarida	0.0000	0.5162	0.0000	0.4845	0.2502
2920809	Marcionílio Souza	0.0000	0.5281	0.0000	0.4728	0.2502
2916609	Itapitanga	0.0000	0.5004	0.0000	0.5005	0.2502
2918902	Lajedão	0.0000	0.5361	0.0000	0.4655	0.2504
2922250	Muquém do São Francisco	0.0000	0.5143	0.0000	0.4873	0.2504
2907004	Cardeal da Silva	0.0000	0.5359	0.0000	0.4659	0.2505
2903300	Barro Preto	0.0000	0.5304	0.0000	0.4769	0.2518
2930766	Sítio do Quinto	0.0000	0.5309	0.0000	0.4768	0.2519
2923902	Pau Brasil	0.0000	0.5152	0.0000	0.4925	0.2519
2929750	Saubara	0.0000	0.5058	0.0000	0.5037	0.2524
2932408	Uibaí	0.0000	0.5343	0.0000	0.4760	0.2526
2903235	Barro Alto	0.0000	0.5306	0.0000	0.4804	0.2528
2917805	Jaguaripe	0.0000	0.4958	0.0000	0.5153	0.2528
2916203	Itapé	0.0000	0.5105	0.0000	0.5018	0.2531
2901700	Antônio Cardoso	0.0000	0.5334	0.0000	0.4809	0.2536
2905503	Caldeirão Grande	0.0000	0.5186	0.0000	0.4970	0.2539
2900504	Érico Cardoso	0.0000	0.5626	0.0000	0.4571	0.2549
2913002	Ibitiara	0.0000	0.5594	0.0000	0.4618	0.2553
2903706	Boa Nova	0.0000	0.5224	0.0000	0.4988	0.2553
2913101	Ibititá	0.0000	0.5362	0.0000	0.4885	0.2562
2903805	Boa Vista do Tupim	0.0000	0.5111	0.0000	0.5147	0.2564
2902054	Araçás	0.0000	0.5274	0.0000	0.4986	0.2565
2915007	Itaeté	0.0000	0.5396	0.0000	0.4874	0.2568
2922730	Nova Fátima	0.0000	0.5627	0.0000	0.4654	0.2570
2918209	Jiquiriçá	0.0000	0.5476	0.0000	0.4830	0.2577
2923035	Novo Horizonte	0.0000	0.5718	0.0000	0.4595	0.2578
2903607	Biritinga	0.0000	0.5210	0.0000	0.5106	0.2579
2921401	Mirangaba	0.0000	0.5315	0.0000	0.5018	0.2583
2917409	Jacaraci	0.0000	0.5620	0.0000	0.4754	0.2593
2924058	Pé de Serra	0.0000	0.5436	0.0000	0.4961	0.2599
2923050	Novo Triunfo	0.0000	0.5651	0.0000	0.4750	0.2600
2901908	Aporá	0.0000	0.5335	0.0000	0.5068	0.2601
2933059	Várzea da Roça	0.0000	0.5539	0.0000	0.4875	0.2604
2907608	Central	0.0000	0.5400	0.0000	0.5018	0.2605
2902252	Arataca	0.0000	0.5276	0.0000	0.5143	0.2605
2904001	Boninal	0.0000	0.5524	0.0000	0.4896	0.2605
2906824	Canudos	0.0000	0.5519	0.0000	0.4902	0.2605
2918753	Lagoa Real	0.0000	0.5375	0.0000	0.5054	0.2607
2928059	Santa Luzia	0.0000	0.5465	0.0000	0.4972	0.2609
2920403	Manoel Vitorino	0.0000	0.5362	0.0000	0.5080	0.2611
2929404	São Miguel das Matas	0.0000	0.5609	0.0000	0.4841	0.2612
2909406	Cotegipe	0.0000	0.5365	0.0000	0.5116	0.2620
2917904	Jandaíra	0.0000	0.5602	0.0000	0.4883	0.2621
2916302	Itapebi	0.0000	0.5472	0.0000	0.5032	0.2626
2902005	Aracatu	0.0000	0.5428	0.0000	0.5097	0.2631
2902401	Aurelino Leal	0.0000	0.5626	0.0000	0.4901	0.2632
2909208	Coronel João Sá	0.0000	0.5439	0.0000	0.5130	0.2642
2904852	Cabaceiras do Paraguaçu	0.0000	0.5472	0.0000	0.5139	0.2653
2920205	Malhada	0.0000	0.5547	0.0000	0.5073	0.2655
2930600	Serrolândia	0.0000	0.5600	0.0000	0.5024	0.2656
2910859	Filadélfia	0.0000	0.5624	0.0000	0.5021	0.2661
2912707	Ibirapitanga	0.0000	0.5364	0.0000	0.5283	0.2662
2931509	Teofilândia	0.0000	0.5561	0.0000	0.5108	0.2667
2911857	Heliópolis	0.0000	0.5727	0.0000	0.4954	0.2670
2920908	Mascote	0.0000	0.5642	0.0000	0.5069	0.2678
2902203	Aramari	0.0000	0.6003	0.0000	0.4718	0.2680
2901601	Antas	0.0000	0.5781	0.0000	0.4958	0.2685
2911402	Glória	0.0000	0.5655	0.0000	0.5089	0.2686
2910750	Fátima	0.0000	0.5792	0.0000	0.4984	0.2694
2933158	Várzea Nova	0.0000	0.5776	0.0000	0.5015	0.2698
2906857	Capela do Alto Alegre	0.0000	0.5992	0.0000	0.4860	0.2713
2918308	Jitaúna	0.0000	0.5701	0.0000	0.5155	0.2714
2926509	Ribeira do Amparo	0.0000	0.5577	0.0000	0.5327	0.2726
2929370	São José do Jacuípe	0.0000	0.6252	0.0000	0.4705	0.2739
2925956	Rafael Jambeiro	0.0000	0.5639	0.0000	0.5363	0.2750
2933109	Várzea do Poço	0.0000	0.6574	0.0000	0.4435	0.2752
2913408	Igaporã	0.0138	0.5805	0.0000	0.5161	0.2776
2912301	Ibicuí	0.0000	0.5694	0.0000	0.5413	0.2777
2932457	Umburanas	0.0000	0.5764	0.0000	0.5360	0.2781
2906204	Canarana	0.0000	0.5890	0.0000	0.5273	0.2791
2911808	Guaratinga	0.0000	0.5676	0.0000	0.5498	0.2793
2918803	Laje	0.0000	0.6039	0.0000	0.5307	0.2836
2901353	Andorinha	0.0000	0.5798	0.0000	0.5576	0.2843
2920700	Maraú	0.0000	0.5905	0.0000	0.5536	0.2860
2922052	Mulungu do Morro	0.1273	0.5404	0.0000	0.4897	0.2894
2908200	Conceição da Feira	0.0000	0.6063	0.0000	0.5822	0.2971
2905404	Cairu	0.0000	0.6046	0.0000	0.5927	0.2993
2919603	Macajuba	0.2705	0.4900	0.0000	0.4522	0.3032
2913457	Igrapiúna	0.0000	0.6889	0.0000	0.5451	0.3085
2930907	Tabocas do Brejo Velho	0.1882	0.5787	0.0000	0.5088	0.3189
2912509	Ibipitanga	0.3906	0.5875	0.0000	0.4926	0.3677
2927804	Santa Cruz da Vitória	0.0000	0.4879	0.6157	0.4683	0.3930
